1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
452	-0.619646	-0.619680	0.000113	0.266074	795.412570	0.003811	0.000007	0.003810	20.4	8.8	31.2
453	-0.639923	-0.639957	0.000114	1.250082	760.235518	0.004895	0.000007	0.004895	7.7	8.0	17.4
454	-0.630751	-0.630782	0.000104	0.279533	794.909503	0.003547	0.000006	0.003547	8.3	10.5	21.1
455	-0.650799	-0.650833	0.000113	0.000000	805.490601	0.003576	0.000007	0.003576	9.4	8.5	19.6
456	-0.653846	-0.653877	0.000102	1.000000	768.877392	0.003446	0.000006	0.003446	12.4	11.3	25.4
457	-0.618431	-0.618465	0.000113	0.029321	804.367524	0.003983	0.000007	0.003982	23.5	9.1	34.1
458	-0.651039	-0.651071	0.000108	0.000000	805.490601	0.003523	0.000007	0.003522	7.6	8.0	17.6
459	-0.641041	-0.641072	0.000105	0.000000	805.490601	0.003821	0.000006	0.003821	8.9	9.0	19.5
460	-0.632364	-0.632398	0.000115	0.936425	771.105725	0.004457	0.000007	0.004457	7.9	8.3	17.9
461	-0.647976	-0.648011	0.000116	0.000000	805.490601	0.005895	0.000007	0.005894	8.5	7.9	17.9
462	-0.612455	-0.612487	0.000105	0.999992	768.877667	0.003599	0.000006	0.003598	7.9	8.9	18.6
463	-0.607671	-0.607702	0.000103	0.035598	804.127508	0.004589	0.000006	0.004588	7.9	8.3	17.7
464	-0.631479	-0.631510	0.000105	1.034304	767.680384	0.004418	0.000006	0.004418	8.1	9.5	19.2
465	-0.642775	-0.642808	0.000110	0.063621	803.057699	0.004057	0.000007	0.004057	8.6	29.4	39.9
466	-0.632890	-0.632923	0.000112	0.000000	805.490601	0.003574	0.000007	0.003574	19.0	7.8	28.4
467	-0.622572	-0.622606	0.000112	0.000000	805.490601	0.004253	0.000007	0.004252	7.8	8.8	18.9
468	-0.619366	-0.619400	0.000113	0.000000	805.490601	0.003714	0.000007	0.003714	8.5	8.0	18.0
469	-0.621857	-0.621893	0.000120	0.959067	770.310625	0.004058	0.000007	0.004058	7.5	10.6	19.9
470	-0.620999	-0.621033	0.000113	1.958958	736.762647	0.003360	0.000007	0.003359	19.2	21.1	42.4
471	-0.632103	-0.632137	0.000115	0.988373	769.283961	0.003822	0.000007	0.003821	8.0	9.6	19.7
472	-0.649489	-0.649522	0.000111	0.017690	804.812647	0.003697	0.000007	0.003697	9.4	9.3	20.6
473	-0.630130	-0.630163	0.000108	1.017267	768.274394	0.003591	0.000006	0.003591	15.2	15.2	31.9
474	-0.643255	-0.643290	0.000116	2.017267	734.896229	0.004394	0.000007	0.004394	22.3	21.6	45.4
475	-0.625330	-0.625367	0.000123	1.976154	736.211235	0.003361	0.000007	0.003361	9.2	16.2	27.7
476	-0.627131	-0.627166	0.000116	2.975550	705.523018	0.004726	0.000007	0.004726	9.6	7.8	19.2
477	-0.642783	-0.642817	0.000116	2.119820	731.636424	0.003457	0.000007	0.003457	8.4	8.7	19.4
478	-0.659896	-0.659934	0.000124	1.149137	763.700295	0.003997	0.000007	0.003997	7.6	8.0	17.0
479	-0.612547	-0.612580	0.000109	0.178478	798.702460	0.003354	0.000007	0.003354	8.5	8.5	18.4
480	-0.619796	-0.619833	0.000124	0.682011	780.153754	0.004032	0.000007	0.004032	7.7	7.8	17.8
481	-0.639540	-0.639575	0.000116	1.681995	745.759017	0.003559	0.000007	0.003559	8.0	7.9	17.6
482	-0.627479	-0.627519	0.000134	2.425513	722.088896	0.005021	0.000008	0.005021	7.5	8.4	17.5
483	-0.642378	-0.642412	0.000114	1.454830	753.303532	0.003476	0.000007	0.003475	7.7	7.8	17.3
484	-0.633559	-0.633597	0.000128	0.484147	787.338813	0.003753	0.000007	0.003753	7.7	8.9	18.2
485	-0.661302	-0.661336	0.000114	1.483667	752.337369	0.003411	0.000007	0.003411	7.8	7.7	17.0
486	-0.631974	-0.632012	0.000124	0.512984	786.283434	0.003824	0.000007	0.003824	8.1	9.4	19.2
487	-0.643752	-0.643783	0.000105	0.000000	805.490601	0.003242	0.000006	0.003242	8.4	18.2	29.1
488	-0.641718	-0.641753	0.000119	1.000000	768.877392	0.003583	0.000007	0.003583	18.5	30.0	50.0
489	-0.638794	-0.638833	0.000130	1.993226	735.664609	0.004215	0.000007	0.004214	7.5	8.8	18.4
490	-0.619528	-0.619564	0.000119	1.022543	768.090339	0.003703	0.000007	0.003703	26.6	8.9	37.0
491	-0.645752	-0.645786	0.000113	2.022543	734.727806	0.004455	0.000007	0.004455	7.6	8.2	17.2
492	-0.635886	-0.635925	0.000130	1.051895	767.067985	0.003905	0.000007	0.003904	9.0	8.0	18.4
493	-0.619427	-0.619464	0.000125	2.020723	734.785900	0.003680	0.000007	0.003679	7.8	8.3	20.4
494	-0.631378	-0.631411	0.000113	1.050040	767.132515	0.003672	0.000007	0.003672	8.1	8.1	18.2
495	-0.662939	-0.662974	0.000119	0.079567	802.450183	0.004251	0.000007	0.004251	16.5	8.9	26.9
496	-0.613029	-0.613064	0.000118	0.000000	805.490601	0.004095	0.000007	0.004095	8.2	20.7	30.9
497	-0.633401	-0.633436	0.000118	0.000000	805.490601	0.003359	0.000007	0.003359	7.9	8.6	18.3
498	-0.618087	-0.618124	0.000124	0.000000	805.490601	0.004073	0.000007	0.004073	8.6	8.2	18.9
499	-0.638733	-0.638769	0.000119	0.990932	769.194432	0.003704	0.000007	0.003704	13.8	18.8	34.5
